AccessionNumber,PlantingNumber,Position,SurveyDatePossiblyDead,PossiblyDead,SurveyDateDead,Dead
2021-2128,2,118,7/26/2023,FALSE,9/19/2023,FALSE
2021-2128,3,49,7/25/2023,FALSE,9/19/2023,FALSE
2021-2128,4,177,7/26/2023,TRUE,9/19/2023,TRUE
2021-2128,5,238,7/26/2023,FALSE,9/19/2023,FALSE
2021-2128,6,150,7/26/2023,FALSE,9/19/2023,FALSE
2021-2128,7,50,7/25/2023,FALSE,9/19/2023,FALSE
2021-2129,2,86,7/25/2023,FALSE,9/19/2023,FALSE
2021-2129,3,46,7/25/2023,TRUE,9/19/2023,TRUE
2021-2129,4,96,7/25/2023,TRUE,9/19/2023,TRUE
2021-2129,5,61,7/25/2023,FALSE,9/19/2023,FALSE
2021-2129,6,19,7/25/2023,FALSE,9/19/2023,FALSE
2021-2129,7,236,7/26/2023,TRUE,9/19/2023,TRUE
2021-2129,8,137,7/26/2023,TRUE,9/19/2023,TRUE
2021-2129,9,33,7/25/2023,FALSE,9/19/2023,FALSE
2021-2130,2,93,7/25/2023,TRUE,9/19/2023,TRUE
2021-2130,3,69,7/25/2023,FALSE,9/19/2023,FALSE
2021-2130,4,123,7/26/2023,FALSE,9/19/2023,FALSE
2021-2130,5,174,7/26/2023,TRUE,9/19/2023,TRUE
2021-2130,6,214,7/26/2023,TRUE,9/19/2023,TRUE
2021-2130,7,84,7/25/2023,TRUE,9/19/2023,TRUE
2021-2130,8,109,7/26/2023,FALSE,9/19/2023,TRUE
2021-2131,2,98,7/25/2023,TRUE,9/19/2023,TRUE
2021-2131,3,146,7/26/2023,TRUE,9/19/2023,TRUE
2021-2131,4,220,7/26/2023,FALSE,9/19/2023,FALSE
2021-2131,5,42,7/25/2023,TRUE,9/19/2023,TRUE
2021-2131,6,21,7/25/2023,FALSE,9/19/2023,FALSE
2021-2131,7,128,7/26/2023,FALSE,9/19/2023,FALSE
2021-2131,8,141,7/26/2023,TRUE,9/19/2023,TRUE
2021-2131,9,170,7/26/2023,FALSE,9/19/2023,FALSE
2021-2132,2,28,7/25/2023,TRUE,9/19/2023,TRUE
2021-2132,3,153,7/26/2023,FALSE,9/19/2023,FALSE
2021-2132,4,159,7/26/2023,FALSE,9/19/2023,FALSE
2021-2132,5,97,7/25/2023,TRUE,9/19/2023,TRUE
2021-2132,6,82,7/25/2023,FALSE,9/19/2023,FALSE
2021-2132,7,64,7/25/2023,FALSE,9/19/2023,FALSE
2021-2132,8,39,7/25/2023,TRUE,9/19/2023,TRUE
2021-2132,9,218,7/26/2023,TRUE,9/19/2023,TRUE
2021-2133,2,207,7/26/2023,FALSE,9/19/2023,FALSE
2021-2134,2,152,7/26/2023,FALSE,9/19/2023,FALSE
2021-2134,3,156,7/26/2023,FALSE,9/19/2023,FALSE
2021-2134,4,196,7/26/2023,FALSE,9/19/2023,FALSE
2021-2134,5,191,7/26/2023,FALSE,9/19/2023,FALSE
2021-2134,6,73,7/25/2023,TRUE,9/19/2023,TRUE
2021-2134,7,32,7/25/2023,FALSE,9/19/2023,FALSE
2021-2134,8,242,7/26/2023,TRUE,9/19/2023,TRUE
2021-2135,2,203,7/26/2023,FALSE,9/19/2023,FALSE
2021-2135,3,235,7/26/2023,TRUE,9/19/2023,TRUE
2021-2135,4,138,7/26/2023,FALSE,9/19/2023,FALSE
2021-2135,5,231,7/26/2023,FALSE,9/19/2023,FALSE
2021-2135,6,161,7/26/2023,TRUE,9/19/2023,TRUE
2021-2135,7,55,7/25/2023,FALSE,9/19/2023,FALSE
2021-2135,8,176,7/26/2023,TRUE,9/19/2023,TRUE
2021-2135,9,237,7/26/2023,TRUE,9/19/2023,TRUE
2021-2135,10,201,7/26/2023,TRUE,9/19/2023,TRUE
2021-2136,2,243,7/26/2023,FALSE,9/19/2023,FALSE
2021-2136,3,229,7/26/2023,FALSE,9/19/2023,FALSE
2021-2136,4,199,7/26/2023,FALSE,9/19/2023,TRUE
2021-2136,5,74,7/25/2023,FALSE,9/19/2023,FALSE
2021-2136,6,155,7/26/2023,TRUE,9/19/2023,TRUE
2021-2136,7,8,7/25/2023,TRUE,9/19/2023,TRUE
2021-2136,8,17,7/25/2023,TRUE,9/19/2023,TRUE
2021-2136,9,27,7/25/2023,TRUE,9/19/2023,TRUE
2021-2136,10,202,7/26/2023,FALSE,9/19/2023,FALSE
2021-2136,11,193,7/26/2023,FALSE,9/19/2023,FALSE
2021-2136,12,175,7/26/2023,TRUE,9/19/2023,TRUE
2021-2138,2,67,7/25/2023,TRUE,9/19/2023,TRUE
2021-2138,3,154,7/26/2023,TRUE,9/19/2023,TRUE
2021-2138,4,208,7/26/2023,TRUE,9/19/2023,TRUE
2021-2138,5,197,7/26/2023,TRUE,9/19/2023,TRUE
2021-2138,6,226,7/26/2023,TRUE,9/19/2023,TRUE
2021-2138,7,2,7/25/2023,FALSE,9/19/2023,FALSE
2021-2138,8,171,8/3/2023,TRUE,9/19/2023,TRUE
2021-2139,2,52,7/25/2023,TRUE,9/19/2023,TRUE
2021-2139,3,158,7/26/2023,FALSE,9/19/2023,FALSE
2021-2139,4,167,7/26/2023,TRUE,9/19/2023,TRUE
2021-2139,5,66,7/25/2023,FALSE,9/19/2023,FALSE
2021-2139,6,136,7/26/2023,TRUE,9/19/2023,TRUE
2021-2139,7,114,7/26/2023,FALSE,9/19/2023,FALSE
2021-2139,8,119,7/26/2023,FALSE,9/19/2023,FALSE
2021-2139,9,210,7/26/2023,TRUE,9/19/2023,TRUE
2021-2139,10,217,7/26/2023,TRUE,9/19/2023,TRUE
2021-2139,11,101,7/26/2023,FALSE,9/19/2023,FALSE
2021-2140,2,38,7/25/2023,FALSE,9/19/2023,FALSE
2021-2140,3,149,7/26/2023,TRUE,9/19/2023,TRUE
2021-2142,2,190,7/26/2023,FALSE,9/19/2023,FALSE
2021-2142,3,25,7/25/2023,TRUE,9/19/2023,TRUE
