AccessionNumber,PlantingNumber,Position,Latitude,Longitude,SurveyDatePossiblyDead,PossiblyDead,SurveyDateDead,Dead
2021-2168,4,1,33.65779,-93.17231,7/25/2023 14:14,FALSE,9/19/2023,TRUE
2021-2138,7,2,32.89079,-92.3645,7/25/2023 14:17,FALSE,9/19/2023,FALSE
2021-2173,4,3,33.78853,-93.64414,7/25/2023 14:28,FALSE,9/19/2023,FALSE
2021-2175,5,4,33.71162,-92.99704,7/25/2023 14:31,FALSE,9/19/2023,FALSE
2021-2144,7,5,32.8913,-92.3648,7/25/2023 14:35,FALSE,9/19/2023,FALSE
2021-2146,2,6,32.99102,-94.01869,7/25/2023 14:52,TRUE,9/19/2023,TRUE
2021-2154,7,7,33.73685,-93.8604,7/25/2023 14:55,TRUE,9/19/2023,TRUE
2021-2136,7,8,32.89223,-92.36307,7/25/2023 15:01,TRUE,9/19/2023,TRUE
2021-2144,3,9,32.8913,-92.3648,7/25/2023 15:07,TRUE,9/19/2023,TRUE
2021-2160,5,10,33.76776,-93.6483,7/25/2023 15:10,FALSE,9/19/2023,FALSE
2021-2142,10,11,32.89142,-92.36463,7/25/2023 15:13,TRUE,9/19/2023,TRUE
2021-2169,8,12,33.67945,-93.16628,7/25/2023 15:16,FALSE,9/19/2023,FALSE
2021-2142,9,13,32.89142,-92.36463,7/25/2023 15:18,FALSE,9/19/2023,FALSE
2021-2156,3,14,33.73705,-93.86183,7/25/2023 15:14,FALSE,9/19/2023,FALSE
2021-2170,4,15,33.6862,-93.11632,7/25/2023 15:12,TRUE,9/19/2023,TRUE
2021-2166,2,16,33.65819,-93.17102,7/25/2023 15:08,TRUE,9/19/2023,TRUE
2021-2136,8,17,32.89223,-92.36307,7/25/2023 15:02,TRUE,9/19/2023,TRUE
2021-2168,3,18,33.65779,-93.17231,7/25/2023 14:57,FALSE,9/19/2023,FALSE
2021-2129,6,19,32.89208,-92.36302,7/25/2023 14:53,FALSE,9/19/2023,FALSE
2021-2167,4,20,33.65793,-93.17241,7/25/2023 14:37,FALSE,9/19/2023,FALSE
2021-2131,6,21,32.8922,-92.36298,7/25/2023 14:34,FALSE,9/19/2023,FALSE
2021-2164,9,22,33.76945,-93.64848,7/25/2023 14:30,TRUE,9/19/2023,TRUE
2021-2143,5,23,32.8914,-92.36477,7/25/2023 14:21,FALSE,9/19/2023,FALSE
2021-2171,5,24,33.68607,-93.11569,7/25/2023 14:16,TRUE,9/19/2023,TRUE
2021-2142,3,25,32.89142,-92.36463,7/25/2023 16:20,TRUE,9/19/2023,TRUE
2021-2165,2,26,33.76896,-93.64891,7/25/2023 16:18,FALSE,9/19/2023,TRUE
2021-2136,9,27,32.89223,-92.36307,7/25/2023 16:17,TRUE,9/19/2023,TRUE
2021-2132,2,28,32.89226,-92.36326,7/25/2023 16:15,TRUE,9/19/2023,TRUE
2021-2154,4,29,33.73685,-93.8604,7/25/2023 16:12,FALSE,9/19/2023,FALSE
2021-2143,7,30,32.8914,-92.36477,7/25/2023 16:07,FALSE,9/19/2023,TRUE
2021-2173,3,31,33.78853,-93.64414,7/25/2023 16:02,FALSE,9/19/2023,FALSE
2021-2134,7,32,32.89236,-92.3632,7/25/2023 15:57,FALSE,9/19/2023,FALSE
2021-2129,9,33,32.89208,-92.36302,7/25/2023 15:52,FALSE,9/19/2023,FALSE
2021-2163,8,34,33.76951,-93.64831,7/25/2023 15:46,FALSE,9/19/2023,FALSE
2021-2175,4,35,33.71162,-92.99704,7/25/2023 15:27,FALSE,9/19/2023,FALSE
2021-2156,4,36,33.73705,-93.86183,7/25/2023 15:21,TRUE,9/19/2023,TRUE
2021-2149,2,37,32.99102,-94.01688,7/25/2023 15:23,TRUE,9/19/2023,TRUE
2021-2140,2,38,32.89091,-92.36468,7/25/2023 15:43,FALSE,9/19/2023,FALSE
2021-2132,8,39,32.89226,-92.36326,7/25/2023 15:50,TRUE,9/19/2023,TRUE
2021-2169,5,40,33.67945,-93.16628,7/25/2023 15:55,TRUE,9/19/2023,TRUE
2021-2172,7,41,33.70817,-93.08442,7/25/2023 16:00,FALSE,9/19/2023,FALSE
2021-2131,5,42,32.8922,-92.36298,7/25/2023 16:05,TRUE,9/19/2023,TRUE
2021-2172,2,43,33.70817,-93.08442,7/25/2023 16:10,TRUE,9/19/2023,TRUE
2021-2164,2,44,33.76945,-93.64848,7/25/2023 16:14,TRUE,9/19/2023,TRUE
